username,comment,comment_likes,since_posted,current_date
@waitindi1451,Best game this season,,2 months ago,06/04/2024
@manu47193,thank you FA cup,,2 months ago,06/04/2024
@oosto89,ดูกี่ครั้งก็ไม่เบื่อ นี่จะเป็นอีกหนึ่งเกมที่จะอยู่ในประวัติศาสตร์ ทีมรองบ่อนใครมองก็ว่าสู้ไม่ได้ แต่กลับทำได้ ด้วยแผนแปลกๆของ เทน ฮาก,,2 months ago,06/04/2024
@zacksnow1979,"Just watched full match again and no doubt in my mind that Tyler is a Liverpool and to think those always the victims tried to pretend he was anti lfc I absolutely despise that club, get in you'll never get a better chance of winning the treble",1,2 months ago,06/04/2024
@huyviet3183,Mỗi trận đấu đều có những người hùng  đóng góp trực tiếp vào chiến thắng của toàn đội,,2 months ago,06/04/2024
@mr.samuelaidoo,"Imagine if United had lost this game. Ten Hag would have been called clueless for putting the player(Antony) who got the equalizer at LB. 
The fine margins ",,2 months ago,06/04/2024
@leniceang,Classic match ,,2 months ago,06/04/2024
@ErnsDaBurns,Twas a pleasure my guys,,2 months ago,06/04/2024
@karimbenzema99999,2:13:19,2,2 months ago (edited),06/04/2024
@SteveroyWilliams,"Who watched backgardenyans
27:03",1,2 days ago,06/04/2024
@carolinebahati4036,Man u for life,1,2 months ago,06/04/2024
@ChristineMihindo,Walar well trained love you,,2 months ago,06/04/2024
@sq2548,nah i’m not happy w the commentary for amads goal especially… it was dead ,1,2 months ago,06/04/2024
@mr.samuelaidoo,"McTominay was injured, Bruno was injured, Antony was at LB, maguire was a SS, Erikson and Bruno were CB’s, Amad scored the last goal 
 The beauty in the  chaos
You can’t tell me this team aren’t playing for the manager and the badge.",,2 months ago,06/04/2024
@Lucky-to7ly,You would expect the final goal to have some thrilling commentary but mr Tyler what was that ,,2 months ago,06/04/2024
@Space_boy85,Best game so far of the season,,2 months ago (edited),06/04/2024
@nathanlagat792,Thanks for this video.i wish premier league could do the same,,2 months ago,06/04/2024
@lit_fit9590,That commentary was dead.. Man didn't want to be there,1,2 months ago,06/04/2024
@rollrandy429,To me in the future: Welcome back!,1,2 months ago,06/04/2024
@Jkl1234ggs,I love how the commentator said it’s impossible for a winning goal,,2 months ago,06/04/2024
@user-in7wo1fu2c,All time best match!,,2 months ago,06/04/2024
@jonathasouza6202,Uns dos melhores jogos de mundo.,,2 months ago,06/04/2024
@dineshbalakumar3563,"Bruh was so happy that he uploaded the full game for the neutrals and united fans to watch
 I see what you did there @emiratescup",,2 months ago,06/04/2024
@sumantchambial1539,"That Onana smile in the end 
️",,2 months ago,06/04/2024
@chriswhamilton,That commentary is shocking,1,2 months ago,06/04/2024
@witekrudawski4310,That's so sad that Liverpool lost ,1,2 months ago,06/04/2024
@itsmanunair,Wow wow wow the whole match. Can some one list all the moments mainoo impressed,,2 months ago,06/04/2024
@ttatir,excelente,1,2 months ago,06/04/2024
@nasgor9388,on what minute is legendary defense 79 minute ?,,2 months ago,06/04/2024
@Rhoetex, Thank you so much for this ,,2 months ago,06/04/2024
@troy8063,1:22:08 this kid man...hes gonna be something special ,,2 months ago,06/04/2024
@Rmorgan_121,greatest game in a while,,2 months ago,06/04/2024
@sunilphadera4176,What a last goal ,,2 months ago,06/04/2024
@jamescoetzee-suddaby3409,Mainoo 1 minute in leaves 3 Liverpool players for dead. Quality player.,,2 months ago,06/04/2024
@user-jq7gz6cy5p,เยี่ยมมาก,,2 months ago,06/04/2024
@TD_pb,I saw a lot of patterns in this game. ETH needs better players especially on defense and midfield and he ll have them playing really well.,,2 months ago,06/04/2024
@khoirulagguero1946,Amad Diallo's first yellow card in my opinion wasn't very fair... he just wanted to put the ball in the right position,,2 months ago,06/04/2024
@user-qt3lc6nx9n,Wow goal goal,,2 months ago,06/04/2024
@nethmedi,all eras come to an end,1,2 months ago,06/04/2024
@ailamax4077,I just love it pain went straight to Stamford bridge,,2 months ago,06/04/2024
@ntambiroger3497,The match of the 20th century ,,2 months ago,06/04/2024
@ronny101,great game. ,,2 months ago,06/04/2024
@caocaohehe,What a match,,2 months ago,06/04/2024
@mihalishat,Noting the score somewhere on screen would be nice,,2 months ago,06/04/2024
@quinnysworld1086,This account has never seen the kind of engagement they've seen since this game,,2 months ago,06/04/2024
@HarmanSingh-nr5mv,Imagine posting a match without timer,1,2 months ago,06/04/2024
@Red_Devil_AOJ,How did we go from this performance to THAT performance against Brentford in the league?,,2 months ago,06/04/2024
@adityarahman7239,Best FA Cup Match in the history,,2 months ago,06/04/2024
@hbgydhnv,best feeling when is was in school as a red ,1,2 months ago,06/04/2024
@sanchomufc8005,What a game,,2 months ago,06/04/2024
@fightfan9739,"Ref wanted Klopp to win, shambles",1,2 months ago,06/04/2024
@shakunkothari2272,"United did fine in the first half, Liverpool dominated the 2nd half for 40 mins, united were attacked more in extra time with liverpool having some chances, in the end it was about which team took their chances better.",,2 months ago,06/04/2024
@vietchinhnguyen6358,1:23:38 5 beat 2 but Liver still couldn't score ,1,2 months ago,06/04/2024
@truonggiangle5817,Thanks you verrrrrrrry muchhhhhhhhh,,2 months ago,06/04/2024
@seizeverything,"So much of biased commentary, glad United won could see pain their voices",2,2 months ago (edited),06/04/2024
@sirbenedict2519,"Riveting commentary, especially at the end. Wow",1,2 months ago,06/04/2024
@user-oe2qe6pg9k,"Man , this one is to be noted in the book of history",,2 months ago,06/04/2024
@stiwjoox2,its rarely to see a full match uploaded on youtube. i wish EPL would do the same.,,2 months ago,06/04/2024
@vahieuthau6763,The reason is called the king spost and I love football,,2 months ago,06/04/2024
@augustinavictor4861,Live match is always the best,,2 months ago,06/04/2024
@eoinryan-kp6sd,I think Anthony has proven he’s a big game player,,1 month ago,06/04/2024
@london977,"This was the turn down for Liverpool, they couldn't recover from it.",,3 weeks ago,06/04/2024
@troy8063,1:08 thats why he will be the next seedorf ,,2 months ago,06/04/2024
@HS-vl7gn,Mainoo phenomenal player,,2 months ago,06/04/2024
@riantono317,We are united ,,2 months ago,06/04/2024
@dangmattien,time ?,1,2 months ago,06/04/2024
@Obetv01,"Just try and follow the fortunes of Bruno Fernandes on this pitch, in this game. Pay attention to his pressing.",,2 months ago,06/04/2024
@12point131,Full Match?!? Well Played “Fa Cup Channel”!,,2 months ago,06/04/2024
@Saipanefha004,Man Unt,1,2 months ago,06/04/2024
@aaronbibby7210,edging all the way to amads winner like a true united fan,,2 months ago,06/04/2024
@mohamedadhnan4724,1:29:56 game started ,1,2 months ago,06/04/2024
@WATM-uq4te,The end of this video is big big smile from onanananna ,,2 months ago,06/04/2024
@Yola101,this game was personal fr,,2 months ago,06/04/2024
@user-pj1sw7ir6r,The best.,,2 months ago,06/04/2024
@hidayatulhaq8973,,,2 months ago,06/04/2024
@peterlfc1387,Why is that arl twt Martin Tyler still commenting?,1,2 months ago,06/04/2024
@AkashMishra-iu4uj,"9:20 Man U 1-0
43:25 Liverpool 1-1
46:43 Liverpool 1-2
1:31:06 Man U 2-2
 Liverpool 2-3
 Man U 3-3
 Man U 4-3
Glory Glory Man United ",,2 months ago,06/04/2024
@kenankit,Liverpool fans kindly take the L and stop pestering  UTD fans,1,2 months ago,06/04/2024
@masbassiruka540,Mantap bosku,1,2 months ago,06/04/2024
@Squeenix1,the commentary is too static. hes a legend for sure but man its time to get new blood in,,2 months ago,06/04/2024
@eatorama,"gila garnacho main 2 jam masih bisa sprint dimenit akhir.
dan ndak ada yang kram",,2 months ago,06/04/2024
@bryngefferies7530,"At present The Old Trafford Stadium is still incomplete & needs is an upgrade of the SBC stand & East & West quadrant to be completed first before you can sort out the roof. 

This Stadium has a lot of potential & can be one of the best stadium in Europe if not the world with the original design cos it has character & authentic with the potential capacity of at least 90K, all it needs is an refurbished & some TLC. 

Take Note: The Stadium Expansion Must Not Exceed the rail way track! 

Man Utd 's Old Trafford 'The Super Bowl of Stadiums known as 'The Theatre of Dreams' is unique & a Colossal of a stadium.",1,2 months ago,06/04/2024
@danangadiw.6035,,1,2 months ago,06/04/2024
@JeremiahAwe,What a legend. Don’t give me height advantage cause I’ll still hit the frog splash till this day!,,2 months ago,06/04/2024
@garethdeere4822,Always enjoy when klopps fake smile breakers.,,2 months ago,06/04/2024
@smagdessian,I. Was. There. Best day of my life,,2 months ago,06/04/2024
@komradenoah8245,2:10:05 Fernandes playing as CB making a tackle while injured,,2 months ago,06/04/2024
@marcus8030,Timer ?,,2 months ago,06/04/2024
@KISWANTO_SP,The best match so far 2024,,2 months ago,06/04/2024
@patlormreacts494,The World Cup final of the FA cup,,2 months ago,06/04/2024
@PenelopeRami2023,lets go man united!,,1 month ago,06/04/2024
@dk7mkd74,Classic!!,1,2 months ago,06/04/2024
@richdoct3079,Gokilll full match,,2 months ago,06/04/2024
@Krmpls,Which one is the green one?,,2 months ago,06/04/2024
@user-se1ul6di6z,Bravo MU,,2 months ago,06/04/2024
@kylelacey8036,Man utd deserves to go through,1,2 months ago,06/04/2024
@roskylolipop8204,12:01 its Robertson handball went unpunished,,2 months ago,06/04/2024
@14llison,Amad gave his jersey to the guy in the stands 🥹,,2 months ago (edited),06/04/2024
@Zaid-ju6ps,Wow man united,,2 months ago,06/04/2024
@SarahWinterbottom-dv3tm,"My grandparents were from Liverpool so i guess that's my team too now,",,2 months ago,06/04/2024
@llamus8432,why isnt there a scorecard?,,2 months ago,06/04/2024
@GreasyBelcher,"These commentators going on about Salah not defending, or “Rather not defending”… Don’t watch Liverpool often. The guy is a workhorse and does as much defending as anyone, especially when Trent is all over the place.",,2 months ago,06/04/2024
@AhsaniTakwim,0:14 yes it is mate another thrilling match happened,,2 months ago (edited),06/04/2024
@katanalugo9912,If we hadn’t won this game I would have blamed Rashford for Liverpool equalising goal plus his missed chances..,,2 months ago,06/04/2024
@user-ul5yt7cd9o,"Фанаты МЮ радуются так, как будто чемпионство или Лигу Чемпионов выиграли!! Им напомнить, как они не настраивались на предыдущие матчи с Ливерпулем и влетали 4-0 , 5-0,7-0. Через 8 лет вырастет целое поколение фанатов Юнайтед, которое не знает чемпионств.",,4 weeks ago,06/04/2024
@peacefarms5871,"Liverpool loves to play with fire 
 ",,2 months ago,06/04/2024
@Zapala10,"Only boring part of the game was Martin Tyler, really didn’t fuss over some of the goals",,2 months ago,06/04/2024
@syaifulrizal8228,"Jarang jarang sampai di tayangkan ulang full begini
Kalo bukan el clasico nya inggris",,2 months ago,06/04/2024
@ekkapannaimpradit3668,2:11:25 This is the best of the F.A.Cup.,,2 months ago,06/04/2024
@ymeyradenme7060,,,2 months ago,06/04/2024
@workmail725,"Martin Tyler ""liverpool paying the price for missing chances""  yet United had more and better chances in the game.",2,2 months ago,06/04/2024
@user-rn7vm6qx3c,Man united supremat.,1,2 months ago,06/04/2024
@user-lo1kg4jb5h,,,2 months ago,06/04/2024
@raydengasak,MU keep THIS performance can beat any team,,2 months ago,06/04/2024
@ytadmin204,,,2 months ago,06/04/2024
@user-iu6ge7sm6h,,1,2 months ago,06/04/2024
@richyorosun9187,that match was everything. But the commentator was an obvious liverpool fan. How lack lustre. It was like it always happens!,,2 months ago,06/04/2024
@odawgbrazy14,"A ROUND OF SCOUSER TEARS ON ME LADS!!!!! 


Wembley Wembley 
Here we come",,2 months ago,06/04/2024
@anne-mariecallanan4290,Tomorrow will be classic united have to win this for ten hag ,,1 month ago,06/04/2024
@michaelprokes3038,change Bruno for Harry was amazing gamechange,1,2 months ago,06/04/2024
@dominicpayne4393,I just re-watched the game via this channel and the commentary is awfully biased. Lots of little undertones it’s sad really.,1,2 months ago,06/04/2024
@Andryk.,Посмотррю еще раз как выигрывает Манчестер Юнайтед ,,2 months ago,06/04/2024
@keithwilliams2218,Very poor commentary.,2,2 months ago,06/04/2024
@user-er5cc7nu3l,"Yang hilang dari united adalah sebuah serangan menusuk layaknya CR7, giggs, nani, young, dan banyak lagi. Dan kini Garnacho melakukan nya lagi apa yang hilang dari united untuk menyerang berani seperti seorang Prabowo Subianto. Hidup Indonesia Maju Prabowo Presiden RI 2024-2029 ",1,2 months ago,06/04/2024
@lawrenceip3418,I’m from Hongkong. Is it due to license issue so that I can’t watch it?,,2 months ago,06/04/2024
@swayze3602,"Guys how can i get into football even if i dont know the logistics of it like positions and stuff i know the basics ive played alot in school and really enjoyed it but im 22 now and thinking of playing seriously + im really competitive too lol and haven't felt passionate about anything else any advice would be appreciated. From Australia 
️",,3 weeks ago (edited),06/04/2024
@oakandiron_,Seriously… thank you Emirates for posting this in its entirety!!! ,,2 months ago,06/04/2024
@xdMistrSeed,"Adhd and Ptsd all at the same time 
 lovely",,2 months ago,06/04/2024
@hisguiltycrown,To my children watching this in the future: yes… it WAS this great 🥹,,2 months ago,06/04/2024
@Ali555aliasdy,مباراة رائعة بين زعيم أنكلترا مانجستريونايتد ومنافسه التقليدي ليفربول,,2 months ago,06/04/2024
@hemmm7205,mainoo what a gem,,2 months ago,06/04/2024
@kieranwylie7893,"Watching this after knowing the result is a completely difference 
UNITED",,2 months ago,06/04/2024
@Milliethepuppy,Most enthusiastic contator ive ever see. ,,2 months ago,06/04/2024
@ryonchandra9140,like this game,,2 months ago,06/04/2024
@uptowngui,"we're the famous man united and we're going to wemberley 
️",,2 months ago,06/04/2024
@leefox9142,Second goal was offside before the build up for Antony’s goal why wasn’t the linesman flag not up I definitely thought it was offside but I didn’t hear anything back from commentary or var what do you think ,,2 months ago,06/04/2024
@BAC_Clips,Whys it gonna premiere,1,2 months ago,06/04/2024
@shawncdonnelly,An instant classic.,,2 months ago,06/04/2024
@Jamie-kv1uv,What happened to Martin Tyler? Once upon a time there would have been epic commentary for a last min winner between these 2 great clubs. Stop giving him airtime. He's given up on the game so give up on him,,2 months ago,06/04/2024
@Gowthamudupi,we are UNITED,,2 months ago,06/04/2024
@chileshemwewa8873,Scoreboard would be nice but thanks,,2 months ago,06/04/2024
@nickchapman145,putting martin tyler on commentary was such a huge mistake,,1 month ago,06/04/2024
@qqwayne7779,"Best Full match, but did'nt have  scoreboard..",,2 months ago,06/04/2024
@Rimas_loves,Live love liverpool,,3 weeks ago,06/04/2024
@multimediafan6777,00:11:45 That tackle from Robertson,,2 months ago,06/04/2024
@ngetaleonard9664,Where's is Peter drury,1,2 months ago,06/04/2024
@kokkiat,Admin must be a United fan too,,2 months ago,06/04/2024
@lsari6948,Szoboszlai a legjobb játékos.,,1 month ago,06/04/2024
@KhoiNguyen-oc1kz,Why the commentary sounds so boring? it feels like like commentators are really sleepy. Are they Liverpool fans?,,2 months ago,06/04/2024
@pujanviramgama9031,Why don't they display the scoresheet in the corner ever man.. annoying,,2 months ago,06/04/2024
@valerienaidoo3853,"Martin Tyler is far better than some of the premier league deadbeats....i turn sound down because they are boring, predictable and biased against united....some were the most ordinary players commenting about the biggest club",1,2 months ago,06/04/2024
@ProDongaDinga,LETS GII,,2 months ago,06/04/2024
@HassaanAlijuttBRAND-yg5gd,I love cricket very much ,1,3 weeks ago,06/04/2024
@gentlegab,but the FA dont usually upload FULL Time games for FA Cup.. or is it because it is a classsic Man U vs Liverpool game ?,,2 months ago,06/04/2024
@kylebriffa7,Never underestimate United,,2 months ago,06/04/2024
@ramseythailand4469,Mainoo & Amad You Know Liverpool,,2 months ago,06/04/2024
@10-D-Kai,Amad Dialooo,,2 months ago,06/04/2024
@DinoRenald,Why would you not show the score line though?,,2 months ago,06/04/2024
@moodyhmoody6608,"Can anyone in this world explain why there’s no scoreboard or timer, couldn’t know which half and what was the score",,13 days ago,06/04/2024
@AriJ87,"Amazing game, but still doesn’t beat United vs Arsenal 1999 semi-final, Villa Park.",,2 months ago,06/04/2024
@sultanazam384,,1,2 months ago,06/04/2024
@melishek0001,ESPN and their grudging comments.,,2 months ago,06/04/2024
@ChristineMihindo,Well trained play the ball,,2 months ago,06/04/2024
@jackmorrison8059,amazing game. announcers so lame. kept saying that United are onto the quarterfinals…,,2 months ago,06/04/2024
@allayx.6974,Commentator ZERO enthusiasm,2,2 months ago,06/04/2024
@ishowspeed3278,nice,1,2 months ago,06/04/2024
@hamidb75,"What a game, I think Quansah should've been midfielder better than center-back, Nunez and Diaz should've been gone out on first half, and Gakpo was in the cloud, this was a catastrophe.",,2 months ago (edited),06/04/2024
@HappyCodingZX,The Ten Hag Tykes!,,2 months ago,06/04/2024
@wesleyodac,"This is United vs City all over again with Nani scoring the winner last minute. United are having a bad season due to injuries but in the end we entertained the neutral in most games. Just look at the CL, after we got knocked out it became a snooze fest",,2 months ago,06/04/2024
@user-qq1qq5nh6f,See martin was overjoyed at amads winner ,,2 months ago,06/04/2024
@vedram7367,I heard some people say Antony didn't have a right foot....,,2 months ago,06/04/2024
@ramadimetsamachete5705,Klopp is humbled!!!,,2 months ago,06/04/2024
@user-to3rf9fh5l,GGMU,1,2 months ago,06/04/2024
@user-vt9pd8hn2u,great,,2 months ago,06/04/2024
@XJokermanX,Holy w,,2 months ago,06/04/2024
@argiggs1794,,,2 months ago,06/04/2024
@nadthapongocharoenkul7634,Second half?,,2 months ago,06/04/2024
@bambangls2066,The best,,2 months ago,06/04/2024
@Md_Asad_267,,,2 months ago,06/04/2024
@Kibrani,"Come on You United 
️🫡",,2 months ago,06/04/2024
@BhurtunAvrish,Just google the match guys it was yesterday,,2 months ago,06/04/2024
@alexranzy,Mu ,1,2 months ago,06/04/2024
@Tom-jg2ss,Why hasn't Tyler (the commentator) retired yet? Know when to leave the stage with grace man,1,2 months ago,06/04/2024
@radendanellayasmineprittas9846,unreal,,2 months ago,06/04/2024
@joaoantonio8600,Klopp is the right man to ask!,,3 weeks ago,06/04/2024
@EgorDenisov,"00:02 Intense match with tactical adjustments
02:21 Key moments from Manchester United vs. Liverpool FA Cup quarter-final match
07:48 Mo Salah's impressive goal gives Liverpool the lead.
10:20 Manchester United dominating the game through quick business
 Manchester United advances to next round after defeating Brighton in penalties
 Intense match between Manchester United and Liverpool
 Marcus Rashford's speed and forward play highlighted in the match
 Intense game between Manchester United and Liverpool
 Intense battle between Diaz and Del during the match
 Exciting action with missed chances
 Early goal for Manchester United rewards their strong start
 Recognition for player improvement and effective gameplay shown in the match
 Liverpool takes the lead in an astonishing turn around
 Liverpool puts in tremendous effort before halftime
 Virgil van Dijk's impactful performance in the match
 Close call for Manchester United, Fernandez's risky move.
 Intense moments between Liverpool and Manchester United with potential red card controversy
 Intense match with controversial fouls
 Liverpool dominating possession but struggling to score against Manchester United.
 Eric tenh har considering a change
 Liverpool dominating possession but struggling in the final third
 Liverpool dominates possession and secures victory over Manchester United
 Erikson's impact in the first 20-25 minutes
 Liverpool holds a marginal lead over Manchester United in Emirates FA Cup 2023-24.
 Exciting match with missed opportunities and near-goals
 Liverpool fails to capitalize on a five versus two situation
 Liverpool won the match against Manchester United
 Intense match with key player changes affecting the game
 Exciting moments in the FA Cup tie between Manchester United and Liverpool
 Tactical observations and near-miss by Rashford
 Liverpool leads 3-2 in extra time
 Manchester United vs Liverpool in FA Cup 2023-24
 Exciting match with great finishes and missed opportunities
 Manchester United dominated early but Liverpool more possession later on
 Amad's historic goal saves Manchester United
 Manchester United plugs away to secure a place in the quarterfinals",,2 months ago,06/04/2024
@lt9074,We won even though john brooks the ref was clearly in favour of Liverpool ,,2 months ago,06/04/2024
@alwisusi2227,United,,2 months ago,06/04/2024
@kuro706,延長戦のヌニェスのパスミスと遠藤とエリオットのクリアミスが勝敗を分けました。試合内容は互角のように見えたけどユナイテッドの交代選手が良い働きをしたし攻撃陣特にガルナチョとメイヌーの動きが機敏だった、あとは根性の差です。,,2 months ago,06/04/2024
@fulmaxnk...20,,,2 months ago,06/04/2024
@RajanShrestha-tg7uj,Where's time?,1,2 months ago,06/04/2024
@dunhilljoseph5461,We know nobody is ready to talk about this. Ten Hag has played against Klop 4 times won 2 lost 1 and draw 1... Who's a better manager? English pundits wont talk about that,,2 months ago,06/04/2024
@Mahlorihlori,Mainoo cooooked ,,2 months ago,06/04/2024
@ny2627,Get a different commentary team,1,2 months ago,06/04/2024
@conbaz106,is Martin Tyler dead inside??,2,2 months ago,06/04/2024
@user-mk2ks9jb6g,in Erik ten hags we trust,,1 month ago,06/04/2024
@Adnan-bc1vk,I LIKE VOICE OF THIS COMMENTATOR MARTIN TAYLOR ,,2 months ago,06/04/2024
@saqib7965,Why we love football,,2 months ago,06/04/2024
@niamulsadia75,where is time??? Just funny,1,2 months ago,06/04/2024
@Nafhanulin,what's a game,1,2 months ago,06/04/2024
@ChristineMihindo,Well trained,,2 months ago,06/04/2024
@ayahtaufik1361,"Kesalahan patal liverpol,ktika mngganti muhammad salah dan wing beck kirinya ",,2 months ago,06/04/2024
@SuperAzeone,"Liverpool are getting closed down, that’s some lucky first half goal from their side,,",,2 months ago,06/04/2024
@OldToothbrush0210,Amad Diallo the gigachad,,2 months ago,06/04/2024
@ytadmin204,No score display is class,,2 months ago,06/04/2024
@dennyrhmd_,Vamoss united,,2 months ago,06/04/2024
@ekh2865,I’m sorry but The commentary is so poor for a drama packed game,1,2 months ago,06/04/2024
@michaelmuldowney8,If it were a straight red card for shirt removal - no player would get caught like this again.,,2 months ago,06/04/2024
@ibrahimkudsi8840,"most enjoyable match but with the lazy antony taylor as commentatory, should have been Peter Drury",,2 months ago,06/04/2024
@kobss,Its going to be a while before the likes of Liverpool and City start to fear us but this game has definately shown that as rubbish as we are United can still turn up when you least expect it. And crash your party!.,,2 months ago,06/04/2024
@jiggersotoole7823,Commentators have a way of sucking the life out of watching football. There's nerve jangling action going on and he's wittering on about trivia.,1,2 months ago (edited),06/04/2024
@kierananthony25,It's unwatchable without a score board....,,2 months ago,06/04/2024
@gokulnathmani4151,United be like we would never be able to play like that again so let's at least re-telecast it ,,2 months ago,06/04/2024
@Gregg4886,Imagine going back to your council house after that…,,2 months ago,06/04/2024
@joejackimczuk2992,"I'm convinced Christian Pulisic is made from toilet paper. All the talent in the world, but he easily has more pulled hamstrings than goals.",1,2 months ago,06/04/2024
@viperRX,Prime Van dijk. World class Endo.  ,,2 months ago,06/04/2024
@imearnearn7432,Garnacho,,2 months ago,06/04/2024
@jaimearango2005,'Buy a ticket and you might win the raffle. Take a shot and you might win an fa cup quarter final'... really? It's hard to imagine poorer commentators on such an elite game,,2 months ago,06/04/2024
@yzn683,Can I see last 15 min’s tactics one more time on other match ?,,2 months ago,06/04/2024
@user-hg2yl2mo4f,How didnt they know Amad red card counts in the premier league thick as f,,2 months ago,06/04/2024
@josappp644,Mu keren juga maennya,,2 months ago,06/04/2024
@ahmadsafari1771,"Pergantian efektif,Ten hag,,,berkat puasa Amad,,gol.gol.gol",1,2 months ago,06/04/2024
@zricado,What time did Wan Bisaka pocket Salah?,,2 months ago,06/04/2024
@sounasamdy8303,"Replacing Salah is the direct reason for Liverpool's defeat. Since Salah was removed, Man United has been liberated.  It also became clear to us that the player, Tsoboslai, has weak physical and technical capabilities and will not get along with the attacking trio of Salah, Diaz, and Nunaz.  Liverpool's defeat is borne by the coach.",,2 months ago,06/04/2024
@wiseman3576,That was a hand ball at 12:00,,3 weeks ago,06/04/2024
@zzzaaa0990,"Liverpool’s bad tactics helped man u/fa win this match,threw it away.14>1 Amen",,2 months ago,06/04/2024
@akashchaturvedi7995,"Football is such a simple sport but it is branded around the world as something of great IQ, like it is so complex that an ordinary person can't understand the tactics. They've deliberately put ""professional"" word to make it look as if this is some kind if corporate thing. Otherwise it's just a game.",,1 month ago,06/04/2024
@10bighikes58,first time I didn't care about a man utd red card ,,1 day ago,06/04/2024
@Dioodegea,GGMU ,1,2 months ago,06/04/2024
@JesusSaves349,"Liverpool defender did a handball in 12th minute, which should have been a penalty against them.",,2 months ago,06/04/2024
@rafidhassan7,GGMU ,,2 months ago,06/04/2024
@tunnelrat9548,"What a great game. Too bad the commentary had as much hype as a funeral. In fact, a funeral would have more life than whatever commentary that was from Martin Tyler",,2 months ago,06/04/2024
@ascheuring1,"For no reason we refuse to show the score, thank you for still watching.",,2 months ago,06/04/2024
@kreangkraichannel3453,🇹🇭,,2 months ago,06/04/2024
@MrUSA2025,Do NOT get rid of Ten Hag!,,2 months ago,06/04/2024
@internetenjoyer1044,this didnt stop the quadruple you cant win the quadruple without the champions league,,2 months ago,06/04/2024
@panjigangsalp6697,Hopefully Martin Tyler and Alan Smith will return to FC,1,2 months ago,06/04/2024
@user-tr9op6qj4q,"Man u Vs Bayern,1990 champions league final",,2 months ago,06/04/2024
@Gabrielgabby263,Come on liver pool,,1 day ago,06/04/2024
@thelowkeyreal1755,WHO WOULD OF THOUGHT IT WOULD BE RUDIGER FOR THE WIN ,,1 month ago,06/04/2024
@thanidasumi3,,,2 months ago,06/04/2024
@ze2004,"José Mourinho, José Mourinho, José Mourinho",,1 month ago,06/04/2024
@THE_HIMALAYAS_REDS,Absolutely show stealer ,,2 months ago,06/04/2024
@jcanyiam8309,"1:23:43
This was the turning point of the match- had Gakpo made a better decision and passed to Nunez rather than to Elliott, Liverpool could have made it 1-3, GAME OVER!!!",,2 months ago,06/04/2024
@SequoiaRiver,Is it Martin Tyler commentating?,,2 months ago,06/04/2024
@jamescain707,Someone tell me why bradley  stops in the 5vs2,,2 months ago,06/04/2024
@kzfbs,"BEST MATCH 
 We're the famous Man united and we're going to Wembley!!!

Glory glory Man united,

Glory glory Man united,

Glory glory Man united,

As the reds go marching up up up!

Just like the busby babes in days gone by,

We'll keep the red flags flying high,

Your gonna see us all from far and wide,

Your gonna hear the masses sing with pride.

United, Man united,

We're the boys in red and we're on our way to Wembley!

Wembley, Wembley,

We're the famous Man united and we're going to Wembley,

Wembley, Wembley,

We're the famous Man united and we're going to Wembley

In Seventy-Seven it was Docherty

Atkinson will make it Eighty-Three

And everyone will no just who we are,

They'll be singing que sera sera

United, Man united,

We're the boys in red and we're on our way to Wembley!

Wembley, Wembley,

We're the famous Man united and we're going to Wembley,

Wembley, Wembley,

We're the famous Man united and we're going to Wembley",,2 months ago,06/04/2024
@martialbhimbwoy6352,Woow,,2 months ago,06/04/2024
@GreasyBelcher,Sick of Gomez shooting. It’s gotten out of hand a long time ago.,,2 months ago,06/04/2024
@Ayah_Mia,Klopp kid 0 Ten Hag kid 1 ,1,2 months ago,06/04/2024
@GoikOShea,John Brooks seething because his cheque bounced.,,2 months ago,06/04/2024
@TinotendaChibvongodze-hj3ip,"As I'm a Liverpool fan that's the sports guys,,let us focus,,",1,2 months ago,06/04/2024
@corinaformon8645,Wow,,10 days ago,06/04/2024
@hamzahmohammad260,I see the old MU in this team.,,2 months ago,06/04/2024
@not3rh,people say this sport is the worst but if you watch this you be folowing footbal in no time,,1 month ago,06/04/2024
@vladmalkov3060,Red Devils never give up,,2 months ago,06/04/2024
@inspectah__,Why were the commentators so lame? In that kind of match? Who chose them?! ,,2 months ago,06/04/2024
@daxiongchen4311,He's not better than Diaz，Jiota，Endo on dribbling，not better than Firmino，Mane on rushing to the spot。 2:09:05,,2 months ago,06/04/2024
@wiraponkankun4582,Salsa was replaced and last.,,2 months ago,06/04/2024
@jcanyiam8309,"I felt we missed KONATE in our defence in this match- with Him in the side there's NO WAY we would have conceded 4 goals to United! Even Mo Salah, not been at his best- is far better at 1-2 than taking him off, for Gakpo, His decision-making is League ONE standard sometimes!
2:12:22
 McAllister or Bradley SHOULD have been a bit smarter and TAKEN ONE FOR THE TEAM with just a minute left to play- even if it meant a RED CARD!!!",,2 months ago (edited),06/04/2024
@user-iy5kg1lm1h,,,2 months ago,06/04/2024
@RekaaKimo-gd4xb,"mooo salaaah
️",1,1 month ago,06/04/2024
@SteveroyWilliams,"My mind 
 49:38  they idk that's my mind",1,2 days ago (edited),06/04/2024
@NextKingOfFootball,mainoo till 30` varane till 60' dalot till 90,,2 months ago,06/04/2024
@im-vanilla,,,2 months ago,06/04/2024
@PortiaBaloyi-nv4ps,number 20,,3 weeks ago,06/04/2024
@troutfarmer420,Put the fkn timer up...,,2 months ago,06/04/2024
